depto,municipio,cultivo,topografia,drenaje,riego,pH,MO,fosforo,azufre,calcio,magnesio,potasio,CIC,CE,anios_est,IPS,calidad,prod_alta
NariãO,San AndrãS De Tumaco,,,,,5.64,3.889,6.482,8.384,1.541,0.38,0.118,2.094,0.133,,51,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,No Tiene,4.24,2.287,520.1,90.3,2.932,0.925,2.131,8.054,2.749,3.0,47,Media,0
Antioquia,Liborina,Cafã©,Pendiente,Mal Drenaje,No Tiene,5.22,2.518,58.11,2.686,3.818,1.11,0.045,5.985,0.328,,61,Buena,1
Antioquia,Liborina,Maracuyã¡,Ondulado,Mal Drenaje,No Tiene,5.45,2.841,4.583,1.782,4.754,3.577,0.118,8.461,0.171,,59,Media,0
Antioquia,Liborina,Cafã©,Ondulado,Mal Drenaje,No Tiene,5.43,2.703,5.512,3.138,7.338,3.022,0.096,10.64,0.323,,63,Buena,1
Antioquia,Liborina,Cafã©,Pendiente,Mal Drenaje,No Tiene,6.92,2.564,100.8,4.947,9.023,2.96,0.243,12.26,0.621,,79,Buena,1
Antioquia,Liborina,Cafã©,Pendiente,Mal Drenaje,No Tiene,4.59,2.749,11.08,3.138,4.53,1.727,0.045,9.823,0.184,,54,Media,0
Cundinamarca,Silvania,Mora,Ondulado,Regular Drenaje,No Tiene,4.849,13.09,73.35,8.715,2.246,0.328,0.272,4.932,0.709,7.5,60,Media,1
Antioquia,Liborina,Cafã©,Ondulado,Mal Drenaje,No Tiene,5.87,1.594,10.9,1.782,4.754,1.295,0.045,6.145,0.159,,64,Buena,1
Cundinamarca,Pasca,Mora,Pendiente,Regular Drenaje,No Tiene,5.22,11.56,74.66,6.454,3.07,0.647,0.176,4.846,0.449,3.0,67,Buena,1
Cundinamarca,Pasca,Mora,Pendiente,Regular Drenaje,No Tiene,5.24,12.63,66.48,7.509,3.144,0.585,0.323,5.042,0.444,3.0,74,Buena,1
Cundinamarca,Pasca,Mora,Ondulado,Regular Drenaje,No Tiene,6.03,3.949,442.0,7.057,9.809,1.47,0.694,12.03,0.429,3.0,87,Excelente,1
Cundinamarca,Pasca,Mora,Ondulado,Regular Drenaje,No Tiene,5.46,9.028,107.3,9.318,5.578,0.771,0.537,6.919,0.499,7.5,76,Buena,1
Cundinamarca,Pasca,Mora,Ondulado,Regular Drenaje,No Tiene,5.61,12.9,64.06,4.043,6.888,1.613,0.403,8.938,0.469,7.5,86,Excelente,1
Cundinamarca,Pasca,Mora,Plano,Buen Drenaje,No Tiene,5.89,11.1,88.04,12.03,12.31,1.912,0.71,14.99,1.007,7.5,89,Excelente,1
Cundinamarca,Pasca,Gulupa,Pendiente,Buen Drenaje,No Tiene,5.09,12.26,30.79,4.646,2.159,0.328,0.22,3.998,0.53,0.5,63,Buena,1
Cundinamarca,Silvania,Mora,Ondulado,Buen Drenaje,No Tiene,4.84,7.089,44.54,4.947,2.177,0.318,0.204,5.198,0.403,7.5,63,Buena,1
Cundinamarca,Silvania,Mora,Ondulado,Buen Drenaje,No Tiene,4.76,4.319,6.627,8.564,2.109,0.411,0.352,5.148,0.191,3.0,54,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,No Tiene,4.59,0.671,555.4,30.01,1.06,0.585,1.44,4.206,1.55,3.0,48,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Regular Drenaje,No Tiene,4.72,2.749,238.9,39.05,3.107,1.182,2.323,7.442,3.156,3.0,56,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Regular Drenaje,No Tiene,4.26,3.626,145.8,20.92,1.341,0.575,0.963,5.759,0.613,3.0,54,Media,0
Huila,Santa MarãA,Gulupa,Pendiente,Buen Drenaje,No Tiene,4.69,3.811,54.39,45.83,4.642,1.233,0.94,7.245,2.224,0.5,63,Buena,1
Cundinamarca,Villeta,Caã±A Panelera,Ondulado,,No Tiene,7.32,6.258,58.11,91.05,18.12,3.207,0.348,21.8,2.123,15.0,82,Excelente,1
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,No Tiene,4.33,1.964,549.8,28.5,2.97,1.511,1.228,7.585,1.694,3.0,54,Media,0
Huila,Santa MarãA,Granadilla,Ondulado,Buen Drenaje,No Tiene,3.85,6.119,140.2,306.9,1.74,1.048,0.832,10.91,3.153,3.0,60,Media,1
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Goteo,4.53,3.626,225.4,39.05,3.369,1.912,0.822,7.033,1.095,3.0,63,Buena,1
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Goteo,4.01,3.765,507.1,96.32,1.747,0.678,1.804,6.877,2.454,3.0,48,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Goteo,4.33,3.118,394.6,51.11,3.12,1.634,0.883,7.582,1.093,3.0,58,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Goteo,4.19,1.548,118.9,56.38,1.173,0.647,1.171,6.047,1.603,3.0,47,Media,0
Huila,Santa MarãA,Granadilla,Ondulado,Buen Drenaje,No Tiene,4.86,4.365,27.44,32.27,3.968,1.202,0.416,6.353,0.388,3.0,64,Buena,1
Cundinamarca,Silvania,Mora,Ondulado,Regular Drenaje,No Tiene,4.75,6.673,34.69,3.741,2.689,0.308,0.252,6.275,0.302,7.5,61,Buena,1
Huila,Santa MarãA,Granadilla,Ondulado,Buen Drenaje,No Tiene,4.16,5.011,37.85,147.4,1.753,0.966,0.726,7.366,2.774,3.0,50,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,No Tiene,3.98,2.148,106.2,122.7,1.591,0.657,1.728,6.957,2.666,3.0,44,Media,0
Huila,Santa MarãA,Gulupa,Pendiente,Buen Drenaje,No Tiene,4.59,3.118,14.99,5.55,3.151,1.85,0.416,6.565,0.689,3.0,59,Media,0
Huila,Santa MarãA,Gulupa,Pendiente,Buen Drenaje,No Tiene,4.67,3.903,14.24,7.66,3.07,2.405,0.374,6.702,0.868,3.0,62,Buena,1
Huila,Santa MarãA,Gulupa,Pendiente,Buen Drenaje,No Tiene,4.61,3.626,105.1,17.6,2.77,1.603,0.72,5.871,1.312,3.0,63,Buena,1
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Aspersiã³N,3.76,5.658,476.4,88.79,2.233,1.182,1.324,9.017,1.913,3.0,62,Buena,1
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Aspersiã³N,3.7,5.334,522.9,115.1,1.815,1.017,1.42,8.514,2.33,3.0,56,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Aspersiã³N,3.91,3.626,445.7,113.6,1.747,1.151,1.132,7.903,1.709,3.0,55,Media,0
Huila,Santa MarãA,Granadilla,Pendiente,Buen Drenaje,Aspersiã³N,3.69,4.088,248.2,100.0,1.803,0.596,0.998,7.037,2.232,3.0,48,Media,0
Huila,Santa MarãA,Granadilla,Ondulado,Buen Drenaje,No Tiene,4.05,5.057,32.83,203.2,1.385,0.986,0.921,9.614,2.54,3.0,50,Media,0
Cundinamarca,Silvania,Mora,Ondulado,Regular Drenaje,No Tiene,4.63,3.811,20.94,7.057,2.876,0.555,0.262,7.665,0.31,7.5,57,Media,0
Cundinamarca,Pasca,Mora,Plano,Buen Drenaje,No Tiene,5.2,9.536,63.69,10.82,4.043,0.616,0.4,6.536,0.552,15.0,72,Buena,1
Cundinamarca,Silvania,Mora,Ondulado,Buen Drenaje,No Tiene,5.27,12.39,36.36,5.55,3.818,0.812,0.46,5.971,0.737,0.5,70,Buena,1
Cesar,AgustãN Codazzi,Pastos,Plano,,No Tiene,6.18,0.579,7.929,11.57,1.304,0.452,0.998,2.787,0.873,,53,Media,0
Cundinamarca,San Bernardo,Mora,Ondulado,Regular Drenaje,No Tiene,4.61,7.597,33.58,5.399,2.271,0.534,0.233,8.422,0.717,3.0,59,Media,0
Cesar,AgustãN Codazzi,Pastos,Plano,,No Tiene,5.97,0.486,6.999,1.48,1.971,0.503,0.045,2.563,0.118,,47,Media,0
Antioquia,Caracolã,Cacao,Ondulado,Buen Drenaje,,5.6,1.964,4.025,7.359,2.595,0.544,0.045,3.234,0.161,7.5,50,Media,0
Cesar,AgustãN Codazzi,Eucalipto,Plano,,No Tiene,6.32,1.456,22.42,1.782,7.974,1.295,0.214,9.511,0.174,,70,Buena,1
Cundinamarca,El Rosal,Ajo,Ondulado,Buen Drenaje,,5.13,19.62,50.31,14.74,17.29,4.502,1.056,23.16,0.797,,93,Excelente,1
Cesar,AgustãN Codazzi,Eucalipto,Plano,,No Tiene,6.52,0.994,30.79,1.48,6.289,1.007,0.169,7.51,0.143,,70,Buena,1
Cesar,AgustãN Codazzi,Pastos,Plano,,No Tiene,6.22,1.087,25.58,1.48,3.669,0.935,0.128,4.748,0.179,,56,Media,0
Cesar,AgustãN Codazzi,Eucalipto,Plano,,No Tiene,5.78,1.087,6.07,2.837,2.889,0.76,0.396,4.062,0.156,,56,Media,0
Cesar,AgustãN Codazzi,Eucalipto,Plano,,No Tiene,6.28,0.856,56.25,1.933,3.332,0.555,0.406,4.331,0.166,,64,Buena,1
Cesar,AgustãN Codazzi,Eucalipto,Plano,,No Tiene,6.44,1.271,18.33,1.631,5.878,1.161,0.176,7.253,0.146,,67,Buena,1
Meta,Puerto LãPez,Maã­Z,,,,5.26,2.102,13.5,5.098,1.31,0.4,0.163,2.297,0.103,,48,Media,0
Meta,San Juan De Arama,Melã³N,Plano,Buen Drenaje,,4.83,2.241,2.91,4.646,0.268,0.102,0.045,2.161,0.035,,37,Baja,0
Meta,San Juan De Arama,Piã±A,Plano,Buen Drenaje,,4.94,1.871,3.096,4.344,0.361,0.082,0.045,2.458,0.025,,37,Baja,0
Cesar,AgustãN Codazzi,Eucalipto,Plano,,No Tiene,6.01,0.671,9.973,0.878,2.283,0.565,0.326,3.191,0.07,,56,Media,0
Cundinamarca,Guasca,Pasto Maralfalfa,Ligeramente Ondulado,Buen Drenaje,Manguera,5.62,5.611,39.9,9.017,4.717,1.706,0.614,7.103,0.204,3.0,83,Excelente,1
Tolima,Falan,Cacao,Ondulado,Buen Drenaje,,4.83,3.995,6.256,5.55,2.321,1.315,0.243,5.552,0.318,7.5,55,Media,0
Cundinamarca,Silvania,Mora,Ondulado,Buen Drenaje,No Tiene,5.08,9.028,19.26,6.153,2.957,0.699,0.367,4.707,0.878,7.5,60,Media,1
Cundinamarca,Pasca,Mora,Ondulado,Mal Drenaje,No Tiene,5.059,20.18,130.2,13.23,9.285,1.295,0.268,11.68,1.136,3.0,79,Buena,1
Cundinamarca,Silvania,Mora,Ondulado,Regular Drenaje,No Tiene,4.99,9.305,99.75,8.564,3.743,0.616,0.563,6.465,1.141,0.5,63,Buena,1
Cundinamarca,Silvania,Mora,Ondulado,Buen Drenaje,No Tiene,4.93,9.167,36.55,6.454,1.597,0.308,0.339,4.248,0.489,7.5,57,Media,0
Cundinamarca,Silvania,Mora,Plano,Buen Drenaje,No Tiene,5.33,9.859,25.77,18.51,3.444,0.544,0.339,4.923,0.59,3.0,63,Buena,1
Antioquia,Liborina,Cafã©,Ondulado,Mal Drenaje,No Tiene,6.11,3.303,25.03,2.234,6.215,2.467,0.384,9.093,0.33,,80,Buena,1
Valle Del Cauca,Dagua,Maracuyã¡,Ondulado,Buen Drenaje,,5.43,3.395,2.724,4.947,3.594,2.035,0.275,6.11,0.085,,63,Buena,1
Valle Del Cauca,Dagua,Piã±A,Ondulado,Buen Drenaje,Aspersiã³N,5.19,4.319,5.326,6.153,2.995,1.912,0.96,6.396,0.207,,65,Buena,1
